year,rank,iata_code,pax_volume,rank_change,rank_change_percentage
2000,1,ATL,80162407,,0.6
2000,2,ORD,72144244,,2.7
2000,3,LAX,66424767,,4.8
2000,4,LHR,64606826,,3.8
2000,5,DFW,60687122,,1.1
2000,6,HND,56402206,,3.8
2000,7,FRA,49360630,,7.6
2000,8,CDG,48246137,,10.6
2000,9,SFO,41040995,,1.8
2000,10,AMS,39606925,,7.7
2000,11,DEN,38751687,,1.9
2000,12,LAS,36865866,,9
2000,13,MSP,36751632,,5.8
2000,14,GMP,36727124,,10.1
2000,15,PHX,36040469,,7.4
2000,16,DTW,35535080,,4.6
2000,17,IAH,35251372,,6.7
2000,18,EWR,34188468,,1.7
2000,19,MIA,33621273,,0.8
2000,20,MAD,32893190,,17.5
2000,21,JFK,32856220,,3.7
2000,22,HKG,32752359,,10.2
2000,23,LGW,32065685,,4.9
2000,24,MCO,30823509,,5.6
2000,25,STL,30561387,,1.2
2000,26,BKK,29616432,,8.5
2000,27,YYZ,28930036,,4.1
2000,28,SIN,28618200,,9.8
2000,29,SEA,28408553,,2.5
2000,30,BOS,27412926,,1.3
2001,1,ATL,75858590,,-0.054
2001,2,ORD,67448064,,-0.065
2001,3,LAX,61606204,,-0.085
2001,4,LHR,60743084,,-0.06
2001,5,HND,58692688,1,0.041
2001,6,DFW,55150693,-1,-0.092
2001,7,FRA,48559980,,-0.016
2001,8,CDG,47996529,,-0.005
2001,9,AMS,39531123,1,-0.002
2001,10,DEN,36092806,1,-0.069
2001,11,PHX,35439031,4,-0.017
2001,12,LAS,35180960,,-0.046
2001,13,IAH,34803580,4,-0.013
2001,14,SFO,34632474,-5,-0.156
2001,15,MSP,34308389,-2,-0.067
2001,16,MAD,34047931,4,0.035
2001,17,HKG,32546029,5,-0.006
2001,18,DTW,32294121,-2,-0.091
2001,19,MIA,31668450,,-0.058
2001,20,LGW,31182364,3,-0.028
2001,21,DMK,30623366,5,0.034
2001,22,EWR,30558000,-4,-0.106
2001,23,JFK,29349000,-2,-0.107
2001,24,MCO,28253248,,-0.083
2001,25,SIN,28093759,3,-0.018
2001,26,YYZ,28042692,1,-0.031
2001,27,SEA,27036073,2,-0.048
2001,28,STL,26695019,-3,-0.127
2001,29,FCO,25565727,?,-0.027
2001,30,NRT,25379370,?,-0.073
2002,1,ATL,76876128,,0.013
2002,2,ORD,66565952,,-0.013
2002,3,LHR,63338641,1,0.043
2002,4,HND,61079478,1,0.041
2002,5,LAX,56223843,-2,-0.087
2002,6,DFW,52828573,,-0.042
2002,7,FRA,48450357,,-0.002
2002,8,CDG,48350172,,0.007
2002,9,AMS,40736009,,0.03
2002,10,DEN,35651098,,-0.012
2002,11,PHX,35547167,,0.003
2002,12,LAS,35009011,,-0.005
2002,13,MAD,33913456,3,-0.004
2002,14,IAH,33905253,-1,-0.026
2002,15,HKG,33882463,2,0.041
2002,16,MSP,32628331,-1,0.033
2002,17,DTW,32477694,1,0.005
2002,18,DMK,32182980,3,0.051
2002,19,SFO,31456422,-5,-0.092
2002,20,MIA,30060241,-1,-0.051
2002,21,JFK,29943084,2,0.02
2002,22,LGW,29628423,-2,-0.05
2002,23,EWR,29202654,-1,-0.061
2002,24,SIN,28979344,1,0.032
2002,25,NRT,28883606,5,0.138
2002,26,PEK,27159665,?,0.123
2002,27,SEA,26690843,,-0.013
2002,28,MCO,26653672,-4,-0.057
2002,29,YYZ,25930363,-3,-0.075
2002,30,STL,25626114,-2,-0.039
2003,1,ATL,79086792,,0.029
2003,2,ORD,69508672,,0.044
2003,3,LHR,63487136,,0.002
2003,4,HND,62876269,,0.029
2003,5,LAX,54982838,,-0.022
2003,6,DFW,53253607,,0.008
2003,7,FRA,48351664,,-0.002
2003,8,CDG,48220436,,-0.003
2003,9,AMS,39960400,,-0.019
2003,10,DEN,37505138,,0.052
2003,11,PHX,37412165,,0.052
2003,12,LAS,36285932,,0.036
2003,13,MAD,35854293,,0.057
2003,14,IAH,34154574,,0.007
2003,15,MSP,33201860,1,0.018
2003,16,DTW,32664620,1,0.006
2003,17,JFK,31732371,4,0.06
2003,18,DMK,30175379,,-0.062
2003,19,LGW,30007021,3,0.013
2003,20,MIA,29595618,,-0.015
2003,21,EWR,29431061,2,0.007
2003,22,SFO,29313271,-3,-0.068
2003,23,MCO,27319223,5,0.025
2003,24,HKG,27092290,-9,-0.2
2003,25,SEA,26755888,2,0.002
2003,26,NRT,26537406,-1,-0.081
2003,27,FCO,26284478,?,0.037
2003,28,SYD,25333508,?,0.04
2003,29,YYZ,24739312,,-0.046
2003,30,PHL,24671075,?,0.005
2004,1,ATL,83606583,,0.057
2004,2,ORD,75533822,,0.087
2004,3,LHR,67344054,,0.061
2004,4,HND,62291405,,-0.009
2004,5,LAX,60688609,,0.104
2004,6,DFW,59412217,,0.116
2004,7,CDG,51260363,1,0.063
2004,8,FRA,51098271,-1,0.057
2004,9,AMS,42541180,,0.065
2004,10,DEN,42393766,,0.13
2004,11,LAS,41411531,1,0.197
2004,12,PHX,39493519,-1,0.0556
2004,13,MAD,38704731,,0.079
2004,14,DMK,37960169,4,0.258
2004,15,JFK,37518143,2,0.182
2004,16,MSP,36713173,-1,0.106
2004,17,HKG,36711920,7,0.355
2004,18,IAH,36506116,-4,0.069
2004,19,DTW,35187517,-3,0.077
2004,20,PEK,34883190,?,0.432
2004,21,SFO,32247746,1,0.1
2004,22,EWR,31947266,-1,0.084
2004,23,LGW,31461454,-4,0.048
2004,24,MCO,31143388,-1,0.14
2004,25,NRT,31057252,1,0.17
2004,26,SIN,30353565,?,0.231
2004,27,MIA,30165197,-7,0.019
2004,28,SEA,28804554,-3,0.075
2004,29,YYZ,28615709,,0.046
2004,30,PHL,28507420,,0.155
2005,1,ATL,85907423,,0.028
2005,2,ORD,76510003,,0.013
2005,3,LHR,67915403,,0.008
2005,4,HND,63282219,,0.016
2005,5,LAX,61489398,,0.013
2005,6,DFW,59176265,,-0.004
2005,7,CDG,53798308,,0.05
2005,8,FRA,52219412,,0.022
2005,9,AMS,44163098,,0.038
2005,10,LAS,43989982,1,0.06
2005,11,DEN,43387513,-1,0.026
2005,12,MAD,41940059,1,0.084
2005,13,JFK,41885104,2,0.089
2005,14,PHX,41213754,-2,0.043
2005,15,PEK,41004008,5,0.175
2005,16,HKG,40269847,1,0.097
2005,17,IAH,39684640,1,0.087
2005,18,DMK,38985043,-4,0.027
2005,19,MSP,37604373,-3,0.024
2005,20,DTW,36389294,-1,0.032
2005,21,MCO,34128048,3,0.084
2005,22,EWR,33999990,,0.033
2005,23,SFO,33394225,-2,0.023
2005,24,LGW,32784330,-1,0.042
2005,25,SIN,32430856,1,0.068
2005,26,PHL,31495385,4,0.105
2005,27,NRT,31451274,-2,0.013
2005,28,MIA,31008453,-1,0.028
2005,29,YYZ,29914750,,0.045
2005,30,SEA,29289026,-2,0.017
2006,1,ATL,84846639,,-0.012
2006,2,ORD,77028134,,0.007
2006,3,LHR,67530197,,-0.006
2006,4,HND,65810672,,0.04
2006,5,LAX,61041066,,-0.007
2006,6,DFW,60226138,,0.018
2006,7,CDG,56849567,,0.057
2006,8,FRA,52810683,,0.011
2006,9,PEK,48654770,6,0.187
2006,10,DEN,47325016,1,0.091
2006,11,LAS,46193329,-1,0.05
2006,12,AMS,46065719,-3,0.044
2006,13,MAD,45501168,-1,0.08
2006,14,HKG,43857908,2,0.089
2006,15,JFK,43762282,-2,0.045
2006,16,BKK,42799532,2,0.098
2006,17,IAH,42550432,,0.071
2006,18,PHX,41436737,-4,0.005
2006,19,EWR,36724167,3,0.079
2006,20,DTW,35972673,,-0.011
2006,21,MSP,35612133,-2,-0.053
2006,22,SIN,35033083,3,0.08
2006,23,NRT,34975225,4,0.113
2006,24,MCO,34640451,-3,0.015
2006,25,LGW,34172492,-1,0.042
2006,26,SFO,33574807,-3,0.005
2006,27,MIA,32533974,1,0.049
2006,28,PHL,31768272,-2,0.009
2006,29,YYZ,30794980,,0.029
2006,30,MUC,30757978,?,0.075
2007,1,ATL,89379287,,0.053
2007,2,ORD,76177855,,-0.001
2007,3,LHR,68068304,,0.008
2007,4,HND,66823414,,0.011
2007,5,LAX,61896075,,0.014
2007,6,CDG,59922177,1,0.054
2007,7,DFW,59786476,-1,-0.007
2007,8,FRA,54161856,,0.026
2007,9,PEK,53583664,,0.101
2007,10,MAD,52122702,3,0.139
2007,11,DEN,49863352,-1,0.054
2007,12,AMS,47794994,,0.038
2007,13,JFK,47716941,2,0.119
2007,14,HKG,47042419,,0.073
2007,15,LAS,46961011,-4,0.032
2007,16,IAH,42998040,1,0.011
2007,17,PHX,42184515,1,0.018
2007,18,BKK,41210081,-2,-0.037
2007,19,SIN,36701556,3,0.048
2007,20,MCO,36480416,4,0.053
2007,21,EWR,36367240,-2,0.021
2007,22,DTW,35983478,-2,0
2007,23,SFO,35792707,3,0.066
2007,24,NRT,35478146,-1,0.014
2007,25,LGW,35218374,,0.031
2007,26,MSP,35157322,-5,-0.013
2007,27,DXB,34348110,?,0.193
2007,28,MUC,33959422,2,0.104
2007,29,MIA,33740416,-2,0.037
2007,30,CLT,33165688,?,0.117
2008,1,ATL,90039280,,0.007
2008,2,ORD,69353876,,-0.09
2008,3,LHR,67056379,,-0.015
2008,4,HND,66754829,,-0.002
2008,5,CDG,60874681,1,0.016
2008,6,LAX,59497539,-1,-0.047
2008,7,DFW,57093187,,-0.045
2008,8,PEK,55937289,1,0.044
2008,9,FRA,53467450,-1,-0.013
2008,10,DEN,51245334,1,0.028
2008,11,MAD,50824435,-1,-0.024
2008,12,HKG,47857746,2,0.017
2008,13,JFK,47807816,,0.002
2008,14,AMS,47430019,-2,-0.008
2008,15,LAS,43208724,,-0.08
2008,16,IAH,41709389,,-0.03
2008,17,PHX,39891193,,-0.054
2008,18,BKK,38603490,,-0.063
2008,19,SIN,37694824,,0.027
2008,20,DXB,37441440,7,0.09
2008,21,SFO,37234592,2,0.047
2008,22,MCO,35660742,-2,-0.023
2008,23,EWR,35360848,-2,-0.028
2008,24,DTW,35135828,-2,-0.024
2008,25,FCO,35132224,?,0.069
2008,26,CLT,34739020,4,0.047
2008,27,MUC,34530593,1,0.017
2008,28,LGW,34214740,-3,-0.029
2008,29,MIA,34063531,,0.01
2008,30,MSP,34056443,,-0.03
2009,1,ATL,88032086,,-0.022
2009,2,LHR,66037578,1,-0.015
2009,3,PEK,65372012,5,0.169
2009,4,ORD,64158343,-2,-0.061
2009,5,HND,61903656,-1,-0.072
2009,6,CDG,57906866,-1,-0.049
2009,7,LAX,56520843,-1,-0.055
2009,8,DFW,56030457,-1,-0.019
2009,9,FRA,50932840,,-0.047
2009,10,DEN,50167485,,-0.021
2009,11,MAD,48250784,,-0.051
2009,12,JFK,45915069,1,-0.039
2009,13,HKG,45558807,-1,-0.048
2009,14,AMS,43570370,,-0.081
2009,15,DXB,40901752,5,0.092
2009,16,BKK,40500224,2,0.049
2009,17,LAS,40469012,-2,-0.063
2009,18,IAH,40007354,-2,-0.041
2009,19,PHX,37824982,-2,-0.052
2009,20,SFO,37338942,1,0.003
2009,21,SIN,37203978,-2,-0.013
2009,22,CGK,37143719,14,0.152
2009,23,CAN,37048712,9,0.108
2009,24,CLT,34536666,2,-0.006
2009,25,MIA,33886025,4,-0.005
2009,26,FCO,33723213,-1,-0.04
2009,27,MCO,33693649,-5,-0.055
2009,28,SYD,33451383,5,0.004
2009,29,EWR,33399207,-6,-0.055
2009,30,MUC,32681067,-3,-0.054
2010,1,ATL,89331622,,0.015
2010,2,PEK,73948113,1,0.131
2010,3,ORD,66774738,1,0.041
2010,4,LHR,65884143,-2,-0.002
2010,5,HND,64211074,,0.037
2010,6,LAX,59070127,1,0.045
2010,7,CDG,58167062,-1,0.005
2010,8,DFW,56906610,,0.016
2010,9,FRA,53009221,,0.041
2010,10,DEN,52209377,,0.041
2010,11,HKG,50348960,2,0.105
2010,12,MAD,49844596,-1,0.03
2010,13,DXB,47180628,2,0.154
2010,14,JFK,46514154,-2,0.014
2010,15,AMS,45211749,-1,0.038
2010,16,CGK,44355998,6,0.194
2010,17,BKK,42784967,-1,0.056
2010,18,SIN,42038777,3,0.13
2010,19,CAN,40975673,4,0.106
2010,20,PVG,40578621,14,0.264
2010,21,IAH,40479569,-3,0.012
2010,22,LAS,39757359,-5,-0.018
2010,23,SFO,39253999,-3,0.051
2010,24,PHX,38554215,-5,0.019
2010,25,CLT,38254207,-1,0.108
2010,26,FCO,36227778,,0.074
2010,27,SYD,35991917,1,0.076
2010,28,MIA,35698025,-3,0.054
2010,29,MCO,34877899,-2,0.035
2010,30,MUC,34721605,,0.062
2011,1,ATL,92389023,,0.035
2011,2,PEK,78675058,,0.064
2011,3,LHR,69433565,1,0.054
2011,4,ORD,66701241,-1,-0.001
2011,5,HND,62584826,,-0.025
2011,6,LAX,61862052,,0.047
2011,7,CDG,60970551,,0.048
2011,8,DFW,57832495,,0.016
2011,9,FRA,56436255,,0.065
2011,10,HKG,53328613,1,0.059
2011,11,DEN,52849132,-1,0.017
2011,12,CGK,51533187,4,0.162
2011,13,DXB,50977960,,0.08
2011,14,AMS,49755252,1,0.1
2011,15,MAD,49653055,-3,-0.004
2011,16,BKK,47910904,1,0.12
2011,17,JFK,47644060,-3,0.024
2011,18,SIN,46543845,,0.107
2011,19,CAN,45040340,,0.099
2011,20,PVG,41447730,,0.021
2011,21,SFO,40927786,2,0.043
2011,22,PHX,40591948,2,0.053
2011,23,LAS,40560285,-1,0.02
2011,24,IAH,40128953,-3,-0.009
2011,25,CLT,39043708,,0.021
2011,26,MIA,38314389,2,0.073
2011,27,MUC,37763701,3,0.088
2011,28,KUL,37704510,3,0.106
2011,29,FCO,37651222,-3,0.039
2011,30,IST,37406025,7,0.163
2012,1,ATL,94956643,,0.033
2012,2,PEK,81929359,,0.045
2012,3,LHR,70037417,,0.009
2012,4,HND,67788722,1,0.083
2012,5,ORD,66834931,-1,-0.004
2012,6,LAX,63688121,,0.03
2012,7,CDG,61611934,,0.011
2012,8,DFW,58591842,,0.014
2012,9,CGK,57730732,3,0.144
2012,10,DXB,57684550,3,0.132
2012,11,FRA,57520001,-2,0.019
2012,12,HKG,56064248,-2,0.052
2012,13,DEN,53156278,-2,0.006
2012,14,BKK,53002328,2,0.106
2012,15,SIN,51181804,3,0.1
2012,16,AMS,51035590,-2,0.026
2012,17,JFK,49293587,,0.031
2012,18,CAN,48548430,1,0.078
2012,19,MAD,45175501,-4,-0.09
2012,20,IST,44992420,10,0.201
2012,21,PVG,44880164,-1,0.083
2012,22,SFO,44431894,-1,0.086
2012,23,LAS,41666527,,0.005
2012,24,CLT,41226035,1,0.056
2012,25,PHX,40452009,-3,-0.003
2012,26,IAH,40022736,-2,-0.005
2012,27,KUL,39887866,1,0.066
2012,28,MIA,39467444,-2,0.03
2012,29,ICN,39154375,4,0.113
2012,30,MUC,38360604,-3,0.016
2013,1,ATL,94430785,,-0.011
2013,2,PEK,83712355,,0.022
2013,3,LHR,72368030,,0.033
2013,4,HND,68906636,,0.033
2013,5,ORD,66883271,,-0.001
2013,6,LAX,66702252,,0.047
2013,7,DXB,66431533,3,0.152
2013,8,CDG,62052917,-1,0.007
2013,9,DFW,60436266,-1,0.032
2013,10,CGK,59701543,-1,0.034
2013,11,HKG,59609414,1,0.063
2013,12,FRA,58036948,-1,0.009
2013,13,SIN,53726087,2,0.05
2013,14,AMS,52569250,2,0.03
2013,15,DEN,52556359,-2,-0.011
2013,16,CAN,52450262,2,0.086
2013,17,BKK,51363451,-3,-0.031
2013,18,IST,51172626,2,0.136
2013,19,JFK,50413204,-2,0.023
2013,20,KUL,47498157,7,0.191
2013,21,PVG,47189849,,0.052
2013,22,SFO,44944201,,0.012
2013,23,CLT,43456310,1,0.054
2013,24,LAS,41856787,-1,-0.005
2013,25,ICN,41679758,4,0.065
2013,26,MIA,40563071,2,0.028
2013,27,PHX,40318451,-2,-0.003
2013,28,IAH,39865325,-2,-0.001
2013,29,MAD,39729027,-10,-0.121
2013,30,MUC,38672644,,0.008
2014,1,ATL,96178899,,0.019
2014,2,PEK,86130390,,0.029
2014,3,LHR,73408442,,0.014
2014,4,HND,72826862,,0.058
2014,5,LAX,70665472,1,0.06
2014,6,DXB,70475636,1,0.061
2014,7,ORD,70015746,-2,0.044
2014,8,CDG,63808796,,0.028
2014,9,DFW,63523489,,0.051
2014,10,HKG,63148379,1,0.06
2014,11,FRA,59566132,1,0.026
2014,12,CGK,57005406,-2,-0.048
2014,13,IST,56767108,5,0.107
2014,14,AMS,54978023,,0.046
2014,15,CAN,54780346,1,0.044
2014,16,SIN,54091802,-3,0.007
2014,17,JFK,53635346,2,0.064
2014,18,DEN,53472514,-3,0.017
2014,19,PVG,51651800,2,0.095
2014,20,KUL,48932471,,0.03
2014,21,SFO,47114611,1,0.048
2014,22,BKK,46423352,-5,-0.096
2014,23,ICN,45662322,2,0.096
2014,24,CLT,44333475,-1,0.02
2014,25,LAS,42869517,-1,0.024
2014,26,PHX,42125212,1,0.045
2014,27,MAD,41815261,2,0.053
2014,28,IAH,41194558,,0.033
2014,29,MIA,40941879,-3,0.009
2014,30,GRU,39773716,3,0.092
2015,1,ATL,22746009,,0.051
2015,2,PEK,21663240,,0.055
2015,3,DXB,19606327,3,0.068
2015,4,HND,18053930,,0.084
2015,5,LAX,16416281,,0.028
2015,6,LHR,16364246,-3,0.02
2015,7,HKG,16328000,3,0.09
2015,8,ORD,16258025,-1,0.098
2015,9,DFW,14487751,,-0.012
2015,10,BKK,14139314,12,0.148
2015,11,PVG,14136814,8,0.177
2015,12,CDG,14113587,-4,0.022
2015,13,CAN,14094902,2,0.037
2015,14,SIN,13076000,2,-0.009
2015,15,IST,12944832,-2,0.044
2015,16,ICN,12539595,7,0.156
2015,17,FRA,12508282,-6,0.028
2015,18,CGK,12314667,-6,-0.095
2015,19,DEN,12213404,-1,-0.014
2015,20,KUL,11972635,,-0.029
2015,21,JFK,11924793,-4,0.074
2015,22,AMS,11530950,-8,0.035
2015,23,PHX,11015495,3,0.045
2015,24,MIA,10978401,5,0.046
2015,25,SFO,10799749,-4,0.051
2015,26,DEL,10686816,5,0.13
2015,27,CLT,10344920,-3,0.001
2015,28,LAS,10307039,-3,0.017
2015,29,CTU,10184839,9,0.133
2015,30,GRU,9961379,,0.019